       x,       x,       x,       x
       0,       0,   47439,  210425
       0,       0,   18994,  195589
       0,       0,   -5126,  176465
       0,       0,  -24244,  153976
       0,       0,  -37875,  129183
       0,       0,  -45741,  103196
       0,       0,  -47773,   77160
       0,       0,  -44125,   52218
       0,       0,  -35176,   29446
       0,       0,  -21475,    9854
       0,       0,   -3786,   -5718
       0,       0,   17017,  -16559
       0,       0,   39910,  -22159
       0,       0,   63817,  -22191
       0,       0,   87607,  -16549
       0,       0,  110139,   -5350
       0,       0,  130324,   11081
       0,       0,  147149,   32210
       0,       0,  159735,   57323
       0,       0,  167346,   85545
       0,       0,  169416,  115868
       0,       0,  165566,  147215
       0,       0,  155641,  178428
       0,       0,  139716,  208356
       0,       0,  118090,  235868
       0,       0,   91249,  259915
       0,       0,   59876,  279535
       0,       0,   24818,  293929
       0,       0,  -12922,  302445
       0,       0,  -52263,  304653
       0,       0,  -92036,  300312
       0,       0, -131052,  289412
       0,       0, -168132,  272165
       0,       0, -202156,  248988
       0,       0, -232111,  220510
       0,       0, -257101,  187526
       0,       0, -276406,  150990
       0,       0, -289467,  111969
       0,       0, -295957,   71615
       0,       0, -295760,   31123
       0,       0, -288982,   -8309
       0,       0, -275948,  -45533
       0,       0, -257181,  -79483
       0,       0, -233412, -109203
       0,       0, -205494, -133884
       0,       0, -174457, -152901
       0,       0, -141403, -165828
       0,       0, -107502, -172462
       0,       0,  -73925, -172809
       0,       0,  -41821, -167098
       0,       0,  -12282, -155765
       0,       0,   13720, -139435
       0,       0,   35334, -118919
       0,       0,   51892,  -95150
       0,       0,   62905,  -69195
       0,       0,   68110,  -42167
       0,       0,   67433,  -15210
       0,       0,   61044,   10537
       0,       0,   49317,   33990
       0,       0,   32812,   54149
       0,       0,   12292,   70164
       0,       0,  -11359,   81326
       0,       0,  -37106,   87112
       0,       0,  -63878,   87202
       0,       0,  -90522,   81491
       0,       0, -115907,   70105
       0,       0, -138929,   53365
       0,       0, -158586,   31803
       0,       0, -173977,    6131
       0,       0, -184366,  -22778
       0,       0, -189176,  -53911
       0,       0, -188040,  -86186
       0,       0, -180782, -118445
       0,       0, -167476, -149536
       0,       0, -148405, -178323
       0,       0, -124065, -203756
       0,       0,  -95134, -224869
       0,       0,  -62449, -240863
       0,       0,  -27007, -251081
       0,       0,   10115, -255091
       0,       0,   47744, -252648
       0,       0,   84707, -243742
       0,       0,  119819, -228581
       0,       0,  151977, -207575
       0,       0,  180156, -181342
       0,       0,  203472, -150672
       0,       0,  221198, -116525
       0,       0,  232792,  -79962
       0,       0,  237927,  -42130
       0,       0,  236487,   -4213
       0,       0,  228583,   32589
       0,       0,  214542,   67135
       0,       0,  194891,   98364
       0,       0,  170344,  125327
       0,       0,  141775,  147224
       0,       0,  110209,  163431
       0,       0,   76755,  173532
       0,       0,   42571,  177319
       0,       0,    8841,  174807
       0,       0,  -23289,  166226
       0,       0,  -52726,  152029
       0,       0,  -78506,  132847
       0,       0,  -99774,  109499
       0,       0, -115859,   82915
       0,       0, -126274,   54159
       0,       0, -130759,   24359
       0,       0, -129239,   -5340
       0,       0, -121890,  -33785
       0,       0, -109080,  -59895
       0,       0,  -91385,  -82651
       0,       0,  -69558, -101210
       0,       0,  -44488, -114851
       0,       0,  -17211, -123058
       0,       0,   11192, -125500
       0,       0,   39568, -122066
       0,       0,   66782, -112877
       0,       0,   91735,  -98249
       0,       0,  113403,  -78720
       0,       0,  130901,  -54989
       0,       0,  143471,  -27925
       0,       0,  150553,    1465
       0,       0,  151753,   32097
       0,       0,  146910,   62815
       0,       0,  136084,   92471
       0,       0,  119557,  119930
       0,       0,   97810,  144147
       0,       0,   71519,  164167
       0,       0,   41521,  179190
       0,       0,    8804,  188555
       0,       0,  -25551,  191824
       0,       0,  -60385,  188763
       0,       0,  -94527,  179366
       0,       0, -126807,  163837
       0,       0, -156112,  142585
       0,       0, -181427,  116235
       0,       0, -201879,   85581
       0,       0, -216752,   51568
       0,       0, -225498,   15267
       0,       0, -227796,  -22186
       0,       0, -223540,  -59585
       0,       0, -212848,  -95758
       0,       0, -196044, -129547
       0,       0, -173662, -159902
       0,       0, -146432, -185868
       0,       0, -115229, -206656
       0,       0,  -81082, -221637
       0,       0,  -45100, -230399
       0,       0,   -8453, -232730
       0,       0,   27677, -228666
       0,       0,   62137, -218427
       0,       0,   93831, -202471
       0,       0,  121786, -181427
       0,       0,  145145, -156122
       0,       0,  163240, -127494
       0,       0,  175570,  -96616
       0,       0,  181873,  -64603
       0,       0,  182070,  -32622
       0,       0,  176337,   -1815
       0,       0,  165037,   26716
       0,       0,  148740,   51967
       0,       0,  128203,   73080
       0,       0,  104316,   89330
       0,       0,   78104,  100199
       0,       0,   50644,  105346
       0,       0,   23090,  104658
       0,       0,   -3425,   98242
       0,       0,  -27795,   86413
       0,       0,  -49010,   69704
       0,       0,  -66176,   48815
       0,       0,  -78544,   24610
       0,       0,  -85546,   -1915
       0,       0,  -86794,  -29683
       0,       0,  -82122,  -57543
       0,       0,  -71584,  -84357
       0,       0,  -55473, -108990
       0,       0,  -34269, -130401
       0,       0,   -8650, -147637
       0,       0,   20557, -159908
       0,       0,   52362, -166564
       0,       0,   85687, -167167
       0,       0,  119376, -161487
       0,       0,  152259, -149514
       0,       0,  183169, -131472
       0,       0,  210996, -107767
       0,       0,  234727,  -79039
       0,       0,  253489,  -46071
       0,       0,  266571,   -9829
       0,       0,  273430,   28626
       0,       0,  273749,   68142
       0,       0,  267424,  107525
       0,       0,  254582,  145581
       0,       0,  235549,  181163
       0,       0,  210863,  213204
       0,       0,  181254,  240760
       0,       0,  147598,  263025
       0,       0,  110934,  279376
       0,       0,   72377,  289391
       0,       0,   33106,  292873
       0,       0,   -5691,  289833
       0,       0,  -42866,  280506
       0,       0,  -77312,  265334
       0,       0, -108051,  244962
       0,       0, -134220,  220206
       0,       0, -155141,  192000
       0,       0, -170319,  161416
       0,       0, -179476,  129573
       0,       0, -182532,   97634
       0,       0, -179657,   66745
       0,       0, -171209,   38000
       0,       0, -157754,   12419
       0,       0, -140038,   -9147
       0,       0, -118952,  -25977
       0,       0,  -95513,  -37550
       0,       0,  -70800,  -43523
       0,       0,  -45948,  -43773
       0,       0,  -22095,  -38419
       0,       0,    -332,  -27769
       0,       0,   18332,  -12352
       0,       0,   33003,    7134
       0,       0,   42943,   29831
       0,       0,   47578,   54741
       0,       0,   46538,   80793
       0,       0,   39654,  106839
       0,       0,   26993,  131738
       0,       0,    8841,  154371
       0,       0,  -14320,  173692
       0,       0,  -41800,  188752
       0,       0,  -72769,  198762
       0,       0, -106228,  203076
