       X,       X
  124000,   80032
  130800,  106896
  132048,  135904
  127408,  165872
  116688,  195712
   99952,  224192
   77536,  250224
   49936,  272704
   17792,  290720
  -17952,  303408
  -56352,  310160
  -96288,  310496
 -136592,  304208
 -176016,  291296
 -213440,  271952
 -247680,  246640
 -277696,  215936
 -302624,  180704
 -321712,  141904
 -334416,  100608
 -340368,   57968
 -339504,   15232
 -331888,  -26400
 -317872,  -65760
 -298000, -101776
 -272960, -133472
 -243696, -160016
 -211152, -180800
 -176544, -195360
 -141008, -203488
 -105728, -205200
  -71904, -200736
  -40608, -190512
  -12832, -175184
   10560, -155536
   28864, -132560
   41616, -107280
   48496,  -80848
   49520,  -54416
   44736,  -29120
   34608,   -6096
   19696,   13680
     704,   29328
  -21392,   40160
  -45616,   45600
  -70848,   45392
  -95952,   39392
 -119760,   27696
 -141184,   10704
 -159200,  -11120
 -172896,  -37008
 -181536,  -66080
 -184528,  -97344
 -181536, -129664
 -172352, -161904
 -157056, -192880
 -135968, -221456
 -109584, -246528
  -78544, -267184
  -43760, -282560
   -6208, -292048
   32976, -295136
   72656, -291664
  111600, -281568
  148656, -265056
  182640, -242592
  212544, -214768
  237488, -182400
  256720, -146448
  269664, -108000
  276016,  -68208
  275648,  -28288
  268688,   10560
  255408,   47152
  236416,   80432
  212384,  109440
  184224,  133360
  152896,  151552
  119648,  163584
   85552,  169248
   51840,  168560
   19664,  161760
   -9872,  149280
  -35776,  131776
  -57216,  110032
  -73472,   85056
  -84096,   57840
  -88784,   29600
  -87488,    1456
  -80368,  -25472
  -67808,  -50000
  -50400,  -71168
  -28848,  -88112
   -4144, -100128
   22736, -106640
   50688, -107376
   78528, -102192
  105120,  -91200
  129344,  -74784
  150176,  -53424
  166720,  -27856
  178224,    1008
  184080,   32192
  183952,   64560
  177632,   96976
  165184,  128240
  146912,  157216
  123344,  182848
   95088,  204176
   63056,  220336
   28224,  230736
   -8304,  234864
  -45360,  232528
  -81728,  223696
 -116256,  208560
 -147808,  187568
 -175312,  161328
 -197952,  130656
 -214944,   96496
 -225744,   59936
 -230016,   22128
 -227680,  -15728
 -218816,  -52416
 -203760,  -86784
 -183072, -117760
 -157456, -144384
 -127808, -165856
  -95120, -181520
  -60608, -190976
  -25376, -194016
    9392, -190656
   42448, -181152
   72784, -165904
   99360, -145616
  121344, -121072
  138032,  -93248
  148944,  -63200
  153792,  -32096
  152560,   -1088
  145344,   28688
  132576,   56080
  114832,   80096
   92832,   99856
   67552,  114672
   39952,  123968
   11184,  127440
  -17600,  124976
  -45248,  116640
  -70656,  102832
  -92784,   84032
 -110720,   60944
 -123744,   34528
 -131216,    5696
 -132800,  -24368
 -128304,  -54576
 -117760,  -83712
 -101504, -110656
  -80016, -134320
  -53936, -153776
  -24176, -168192
    8320, -176928
   42432, -179504
   77040, -175712
  110864, -165536
  142816, -149184
  171712, -127088
  196560,  -99840
  216464,  -68288
  230688,  -33376
  238704,    3808
  240160,   42144
  234976,   80384
  223264,  117328
  205344,  151824
  181792,  182816
  153312,  209312
  120816,  230544
   85296,  245840
   47952,  254816
    9920,  257232
  -27600,  253136
  -63408,  242768
  -96432,  226544
 -125648,  205168
 -150224,  179408
 -169440,  150256
 -182848,  118784
 -190096,   86144
 -191216,   53472
 -186256,   21952
 -175696,   -7280
 -160048,  -33248
 -140064,  -55040
 -116704,  -71984
  -90944,  -83472
  -63920,  -89216
  -36752,  -89104
  -10640,  -83184
   13344,  -71872
   34176,  -55616
   50912,  -35152
   62848,  -11376
   69360,   14752
   70112,   42096
   64896,   69520
   53760,   95856
   37024,  119984
   15184,  140800
  -11120,  157408
  -40976,  168960
  -73456,  174832
 -107424,  174544
 -141728,  167904
 -175152,  154896
 -206592,  135728
 -234832,  110848
 -258896,   80848
 -277904,   46576
 -291120,    8976
 -298000,  -30848
 -298208,  -71744
 -291680, -112512
 -278496, -151920
 -259024, -188800
 -233792, -222112
 -203536, -250864
 -169152, -274256
 -131664, -291648
  -92272, -302608
  -52096, -306928
  -12352, -304640
   25744, -295968
   61152, -281344
   92816, -261456
  119888, -237088
  141680, -209232
  157696, -178912
  167616, -147312
  171440, -115568
  169232,  -84848
  161440,  -56304
  148608,  -30896
  131456,   -9552
  110944,    7072
   88048,   18368
   63872,   24064
   39584,   24016
   16304,   18288
   -4832,    7280
  -22832,   -8544
  -36752,  -28448
  -45920,  -51536
  -49680,  -76848
  -47728, -103264
  -39824, -129648
  -26080, -154816
   -6784, -177664
   17552, -197104
   46304, -212208
   78544, -222160
  113312, -226336
  149504, -224240
  185952, -215696
  221440, -200704
  254832, -179440
  284960, -152384
  310784, -120144
  331472,  -83552
  346272,  -43568
  354624,   -1280
  356176,   42144
  350896,   85488
  338848,  127520
  320368,  167088
  296032,  203120
  266544,  234624
  232832,  260816
  195856,  281008
  156864,  294800
  116976,  301968
   77392,  302544
   39312,  296736
    3808,  284992
  -28080,  267952
  -55504,  246416
  -77760,  221376
  -94384,  193856
 -105024,  165040
 -109680,  136032
 -108448,  108016
 -101728,   82128
  -90096,   59328
  -74240,   40512
  -55152,   26384
  -33792,   17504
  -11248,   14160
   11312,   16496
   32752,   24416
   51968,   37536
   67936,   55392
   79776,   77248
   86736,  102176
   88240,  129232
   83936,  157296
   73632,  185216
   57392,  211824
   35552,  236000
    8624,  256656
  -22768,  272864
  -57696,  283776
  -95200,  288800
 -134144,  287456
 -173408,  279536
 -211712,  265024
 -247936,  244128
 -280912,  217328
 -309616,  185200
 -333168,  148592
 -350816,  108464
 -362016,   65936
 -366416,   22112
 -363952,  -21728
 -354688,  -64416
 -338976, -104720
 -317376, -141632
 -290576, -174144
 -259488, -201440
 -225104, -222848
 -188640, -238000
 -151216, -246608
 -114032, -248752
  -78288, -244592
  -45040, -234608
  -15328, -219440
   10000, -199856
   30256, -176864
   44944, -151472
   53776, -124848
   56720,  -98160
   53856,  -72480
   45632,  -49024
   32608,  -28720
   15456,  -12464
   -4816,    -944
  -27248,    5280
  -50736,    5904
  -74112,     832
  -96256,   -9872
 -116048,  -25792
 -132480,  -46464
 -144640,  -71168
 -151808,  -98960
 -153392, -128880
 -149040, -159808
 -138560, -190592
 -122032, -220048
  -99792, -247040
  -72304, -270512
  -40240, -289504
   -4528, -303168
   33888, -310912
   73872, -312224
  114272, -306928
  153840, -294992
  191440, -276624
  225888, -252256
  256176, -222528
  281424, -188224
  300864, -150336
  313952, -109952
  320336,  -68208
  319936,  -26336
  312832,   14448
  299344,   52976
  280048,   88192
  255632,  119120
  226992,  144928
  195136,  164976
  161248,  178864
  126448,  186336
   91936,  187424
   58896,  182384
   28416,  171600
    1488,  155760
  -21040,  135632
  -38448,  112208
  -50304,   86528
  -56272,   59744
  -56352,   32992
  -50640,    7408
  -39552,  -15840
  -23680,  -35808
   -3712,  -51616
   19360,  -62560
   44576,  -68064
   70800,  -67872
   96896,  -61856
  121696,  -50096
  144096,  -32992
  163088,  -11024
  177728,   15072
  187344,   44384
  191280,   75920
  189232,  108560
  180960,  141168
  166560,  172528
  146352,  201536
  120832,  227088
   90640,  248256
   56672,  264192
   19920,  274272
  -18512,  278000
  -57456,  275152
  -95680,  265760
 -132064,  249968
 -165408,  228256
 -194688,  201184
 -219056,  169616
 -237744,  134496
 -250208,   96896
 -256064,   57968
 -255280,   18944
 -247920,  -18992
 -234304,  -54656
 -214992,  -87008
 -190704, -115072
 -162304, -138032
 -130816, -155248
  -97408, -166304
  -63232, -170976
  -29456, -169312
    2720, -161520
   32224, -148048
   58064, -129568
   79376, -106848
   95456,  -80896
  105888,  -52720
  110320,  -23536
  108736,    5568
  101280,   33408
   88352,   58864
   70528,   80928
   48528,   98752
   23328,  111616
   -4080,  118960
  -32576,  120512
  -61024,  116112
  -88240,  105888
 -113136,   90208
 -134672,   69536
 -151936,   44640
 -164192,   16416
 -170832,  -14160
 -171504,  -45968
 -166016,  -77856
 -154416, -108624
 -137024, -137152
 -114352, -162352
  -87008, -183296
  -55904, -199136
  -22016, -209232
   13552, -213104
   49648, -210560
   85040, -201568
  118608, -186288
  149168, -165232
  175696, -138944
  197344, -108272
  213344,  -74160
  223168,  -37696
  226464,     -16
  223152,   37664
  213328,   74128
  197328,  108240
  175696,  138912
  149152,  165200
  118592,  186272
   85008,  201520
   49616,  210528
   13536,  213056
  -22048,  209168
  -55920,  199088
  -87024,  183232
 -114352,  162304
 -137056,  137088
 -154432,  108560
 -166016,   77776
 -171488,   45920
 -170832,   14112
 -164176,  -16480
 -151936,  -44704
 -134672,  -69584
 -113120,  -90240
  -88240, -105952
  -61024, -116160
  -32576, -120560
   -4064, -119040
   23344, -111648
   48544,  -98816
   70512,  -80976
   88336,  -58896
  101280,  -33440
  108736,   -5616
  110336,   23488
  105888,   52688
   95456,   80848
   79344,  106816
   58048,  129520
   32208,  148016
    2704,  161472
  -29488,  169280
  -63248,  170928
  -97440,  166240
 -130848,  155184
 -162320,  137952
 -190704,  115008
 -214992,   86960
 -234320,   54608
 -247936,   18912
 -255296,  -19024
 -256064,  -58048
 -250176,  -96976
 -237728, -134576
 -219040, -169680
 -194688, -201248
 -165392, -228304
 -132032, -250048
  -95648, -265808
  -57424, -275216
  -18496, -278032
   19952, -274304
   56688, -264240
   90672, -248288
  120848, -227136
  146384, -201568
  166576, -172576
  180960, -141184
  189216, -108608
  191296,  -75968
  187344,  -44400
  177760,  -15104
  163104,   10976
  144080,   32928
  121696,   50064
   96896,   61808
   70800,   67840
   44576,   68048
   19360,   62496
   -3728,   51584
  -23664,   35776
  -39536,   15776
  -50640,   -7472
  -56352,  -33040
  -56304,  -59792
  -50320,  -86592
  -38448, -112256
  -21008, -135680
    1504, -155792
   28448, -171648
   58912, -182416
   91952, -187488
  126464, -186384
  161280, -178880
  195168, -165008
  227008, -144944
  255648, -119152
  280048,  -88224
  299360,  -53008
  312832,  -14464
  319952,   26320
  320320,   68192
